"AppDelegate.swift","92.85714%"
"Array.swift","100.0%"
"CenterCellCollectionViewFlowLayout.swift","90.625%"
"CommonExtensions.swift","87.5%"
"Constants.swift","50.0%"
"PlayerControls.swift","87.786255%"
"PlayerSlider.swift","82.92683%"
"PlayerSongList.swift","89.28571%"
"RoundedPictureCollectionViewCell.swift","90.47619%"
"Song.swift","72.22222%"
"Theme.swift","66.66667%"
"TipCalculation.swift","50.0%"
"UIImageColors.swift","94.117645%"
